sample,Hash,nReads
Sep18_P11_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3144
Apr18_P38_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,84
Sep18_P12_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8398
Apr18_P402_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4352
Sep18_P402_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,16
Sep18_P12_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2217
Sep18_P14_140.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,365
Apr18_P38_0.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,99
Sep18_P12_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4542
Apr18_P12_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6872
Sep18_P11_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,74
Apr18_P28_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,624
Apr18_P8_122.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3569
Apr18_P12_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9549
Apr18_P8_5.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7713
Apr18_P28_10.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1720
Sep18_P14_140.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,17
Apr18_P8_122.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5772
Sep18_P14_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6227
Sep18_P14_0.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2922
Apr18_P402_52.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,648
Apr18_P8_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4349
Apr18_P22_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4124
Sep18_P12_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2201
Apr18_P402_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7728
Apr18_P402_5.1,11a112ced1c85e620f6d97d82281a1bb58614e67,490
Apr18_P402_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,793
Sep17_P8_5.3,11a112ced1c85e620f6d97d82281a1bb58614e67,7899
Sep17_P28_10.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5
Apr18_P8_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,692
Sep17_P22_86.1,11a112ced1c85e620f6d97d82281a1bb58614e67,595
Apr18_P4_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2354
Apr18_P402_52.1,11a112ced1c85e620f6d97d82281a1bb58614e67,37
Apr18_P22_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,27
Sep17_P8_5.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6042
Apr18_P8_5.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1480
Sep17_P8_121.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2280
Sep17_P402_0.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1591
Apr18_P28_10.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3852
Sep17_P12_115.3,11a112ced1c85e620f6d97d82281a1bb58614e67,9
Apr18_P28_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1588
Sep17_P12_0.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2940
Sep17_P402_0.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1230
Sep17_P8_5.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4225
Sep17_P22_5.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2896
Apr18_P28_10.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2575
Apr18_P28_191.2,11a112ced1c85e620f6d97d82281a1bb58614e67,134
Sep17_P22_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1137
Apr18_P38_98.1,11a112ced1c85e620f6d97d82281a1bb58614e67,50
Sep17_P402_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,737
Sep17_P22_5.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1896
Apr18_P22_5.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1785
Sep17_P8_121.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3017
Sep17_P22_86.3,11a112ced1c85e620f6d97d82281a1bb58614e67,489
Apr18_P1_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,16
Sep17_P12_5.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1743
Sep17_P12_0.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1862
Sep17_P12_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1823
Sep17_P402_5.3,11a112ced1c85e620f6d97d82281a1bb58614e67,679
Apr18_P1_0.2,11a112ced1c85e620f6d97d82281a1bb58614e67,21
Apr18_P4_0.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4520
Apr18_P12_0.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1562
Apr18_P22_105.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1509
Sep17_P22_86.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1213
Sep17_P28_86.3,11a112ced1c85e620f6d97d82281a1bb58614e67,624
