representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
6b6fb75175b8d847bc3b2ce553a8e1396f5a78f6,2759,Eukaryota,superkingdom,0.9998,NA,NA,NA,NA,NA,NA,NA
73c15fa0e4ca79abc78c962a87e06008aee52111,33208,Metazoa,kingdom,0.9999,Metazoa,NA,NA,NA,NA,NA,NA
7659a8de4f5d9ec6188a9c16744584e7f3beef61,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
7c5caf0f60771ec3af9d20327e9c0ce82c3643ea,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
8790d1dec74eaaad4222d42eb6e01b66061a877e,2759,Eukaryota,superkingdom,0.9996,NA,NA,NA,NA,NA,NA,NA
93b1a402f944324962d7a939035eb04753ead8b7,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
9c1b08211a76599faa4a6763b8c564f85d586b36,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
a40466038b961ca6bdc3b8439855a8883353f75d,2759,Eukaryota,superkingdom,0.9884,NA,NA,NA,NA,NA,NA,NA
af0e1e173021b711042ae1fafe88588891812862,2759,Eukaryota,superkingdom,0.9946,NA,NA,NA,NA,NA,NA,NA
b286e8a6f771e15c78da3e9529aa8d325bb03ff7,2759,Eukaryota,superkingdom,0.9999,NA,NA,NA,NA,NA,NA,NA
c098ad5ce38196fc2bb4a901b8f826e05a4f7283,2759,Eukaryota,superkingdom,0.9792,NA,NA,NA,NA,NA,NA,NA
c54bc989c316d1c02e3e8bf6e807f5a7d7541b60,33208,Metazoa,kingdom,0.9987,Metazoa,NA,NA,NA,NA,NA,NA
c6dbb306be3c5e461a1707d3499150502fdfaf6a,2759,Eukaryota,superkingdom,0.9833,NA,NA,NA,NA,NA,NA,NA
c7027d91ab60910dc53c30c56195c0c61ef433f3,2759,Eukaryota,superkingdom,0.9986,NA,NA,NA,NA,NA,NA,NA
cf11fa9d00c401763e2633cfc1e377865e326d12,33634,Stramenopiles,no rank,0.9839,NA,NA,NA,NA,NA,NA,NA
d3cc97c604a10dc9af782c0f3a90cdfd192c2ac7,2759,Eukaryota,superkingdom,0.9999,NA,NA,NA,NA,NA,NA,NA
d6ab373b5f0c289cc5f946810711f22e73940edf,2759,Eukaryota,superkingdom,0.9999,NA,NA,NA,NA,NA,NA,NA
eccdf0f90b93a01cccca52f09be6cbe0307bf5ad,2759,Eukaryota,superkingdom,0.9937,NA,NA,NA,NA,NA,NA,NA
eddd39f5f1865136b6a252701c44dee80b37dc23,2759,Eukaryota,superkingdom,0.9991,NA,NA,NA,NA,NA,NA,NA
ef58fe9819f05f8ed8d0d5eefa403637f33fb10c,1,root,no rank,1,NA,NA,NA,NA,NA,NA,NA
f993cca907de090f852516c97975aff27e4d8184,2759,Eukaryota,superkingdom,0.9451,NA,NA,NA,NA,NA,NA,NA
f9a42d9c17ba5ebb2b0d17a84b3d730522311e3d,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
ffca0f921b0125d589516656b1cfe3b845a7b00a,2759,Eukaryota,superkingdom,0.9834,NA,NA,NA,NA,NA,NA,NA
0a2f3681f5d706027b77f239bb43e71db9b9facb,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
0b602149cf1612e4cf6c8d8f18eb18ad3b382f34,2759,Eukaryota,superkingdom,0.9993,NA,NA,NA,NA,NA,NA,NA
12693e1107671579a498dc41867cdccf262d23a6,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
2aadb421d234d9f64caa448b74328caf71e63622,2759,Eukaryota,superkingdom,0.9374,NA,NA,NA,NA,NA,NA,NA
2f834eb3aa519e1d848fa706f169715be068aa94,2759,Eukaryota,superkingdom,0.9163,NA,NA,NA,NA,NA,NA,NA
43cdd9bcff01e80713af243417de400f0b175a07,2759,Eukaryota,superkingdom,0.9824,NA,NA,NA,NA,NA,NA,NA
53eeef35c10dfc4424a4a7e139ab760f981c1a98,33634,Stramenopiles,no rank,0.9933,NA,NA,NA,NA,NA,NA,NA
6a61f02226b9a49bb60b1a15bd632cc908900be3,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
6d8f18e083aeab5650788d87deafeaf6e88587c9,2759,Eukaryota,superkingdom,0.9908,NA,NA,NA,NA,NA,NA,NA
af8363a9553c1bf917242078ead044d7dafd79d7,2759,Eukaryota,superkingdom,0.9991,NA,NA,NA,NA,NA,NA,NA
c3ffab46c47658c5f11f129344c416384dfffb68,2759,Eukaryota,superkingdom,0.9995,NA,NA,NA,NA,NA,NA,NA
2fadd860f99823878d99d2247044b55d0adf1f88,1,root,no rank,1,NA,NA,NA,NA,NA,NA,NA
